Position (mm),Count
6.457,5.6
6.459,5.8
6.461,7.4
6.463,11.7
6.465,20.4
6.467,28.2
6.469,36.4
6.471,38.2
6.473,39.0
6.475,35.9
6.477,32.6
6.479,20.7
6.481,16.2
6.483,11.5
6.485,8.2
6.487,6.5
