x-axis,1,2,3
second,Volt,Volt,Volt
-268.62400E-06,-362.44771E-06,-381.58994E-06,-767.78233E-06
-268.60800E-06,-383.36821E-06,-415.06275E-06,-1.12343088E-03
-268.59200E-06,-184.62344E-06,-808.36818E-06,-1.43723842E-03
-268.57600E-06,+40.27197E-06,-1.43179913E-03,-1.08158987E-03
-268.56000E-06,-127.09205E-06,-1.08870290E-03,-767.78233E-06
-268.54400E-06,-27.71967E-06,-42.67781E-06,-1.12343088E-03
-268.52800E-06,-137.55231E-06,-511.29705E-06,-1.08158987E-03
-268.51200E-06,+71.65272E-06,-1.13054391E-03,-767.78233E-06
-268.49600E-06,+286.08787E-06,-996.65270E-06,-1.12343088E-03
-268.48000E-06,+218.09624E-06,-578.24266E-06,-1.43723842E-03
-268.46400E-06,+474.37240E-06,-335.56484E-06,-1.43723842E-03
-268.44800E-06,+631.27617E-06,-1.10962341E-03,-1.08158987E-03
-268.43200E-06,+542.36403E-06,-1.02594140E-03,-1.12343088E-03
-268.41600E-06,+463.91215E-06,-184.93723E-06,-1.08158987E-03
-268.40000E-06,+552.82428E-06,-779.07948E-06,-1.47907942E-03
-268.38400E-06,+720.18831E-06,-1.04267780E-03,-1.39539741E-03
-268.36800E-06,+798.64019E-06,-737.23847E-06,-1.12343088E-03
-268.35200E-06,+709.72805E-06,-657.74057E-06,-1.08158987E-03
-268.33600E-06,+631.27617E-06,-887.86609E-06,-767.78233E-06
-268.32000E-06,+720.18831E-06,-988.28450E-06,-412.13378E-06
-268.30400E-06,+798.64019E-06,-799.99998E-06,-453.97479E-06
-268.28800E-06,+620.81592E-06,-871.12969E-06,-767.78233E-06
-268.27200E-06,+730.64856E-06,-862.76149E-06,-767.78233E-06
-268.25600E-06,+877.09208E-06,-1.08451880E-03,-767.78233E-06
-268.24000E-06,+976.46446E-06,-410.87865E-06,-767.78233E-06
-268.22400E-06,+955.54396E-06,+333.89122E-06,-1.12343088E-03
-268.20800E-06,+709.72805E-06,-297.90794E-06,-1.08158987E-03
-268.19200E-06,+809.10044E-06,-728.87027E-06,-1.12343088E-03
