#PicoHarp 300  Histogram Data			11/02/2022 05:53:15 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	1	2	3	4	5	6	7	
#ns/channel
0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	
#counts
77	1959	7930	14588	17892	20636	22433	22477	
100	2068	8081	14325	18024	20754	22601	22499	
84	2077	7951	14484	18237	20672	22120	22578	
83	2035	7948	14502	17844	20621	22255	22778	
81	2051	8073	14495	18359	20621	22258	22666	
72	2005	8131	14670	18330	20568	22104	22339	
88	2091	7822	14463	18228	20906	22095	22740	
92	2083	8128	14485	18099	20671	22085	22278	
64	2032	8099	14561	18202	20920	22442	22328	
81	2019	8274	14673	18011	20544	22113	22390	
63	2094	8223	14675	18244	20787	22102	22388	
75	2175	8291	14739	18313	20783	21955	22413	
81	2052	8302	14653	18268	20555	21895	22360	
97	2132	8209	14696	18623	21092	22031	22495	
83	2089	8370	14665	18471	21078	22224	22396	
70	2166	8327	14952	18335	20700	22120	22392	
85	2121	8379	14961	18723	20931	22354	22383	
85	2260	8504	14996	18245	20868	22155	22389	
81	2145	8357	15095	18832	20799	22480	22511	
64	2143	8404	15142	18676	21164	22391	22431	
67	2228	8600	15064	18802	20942	22237	22327	
77	2216	8655	15382	18830	21193	22226	22112	
67	2274	8719	15435	18599	21275	22503	22424	
77	2348	8777	15137	18917	21157	22307	22181	
57	2249	9034	15286	19146	21158	22127	22287	
100	2305	9021	15517	19081	20911	22150	22140	
87	2340	9016	15688	19128	21261	22487	22250	
93	2387	9007	15740	19370	21234	22384	22234	
78	2344	9111	15568	19266	21399	22503	22233	
89	2468	8991	15878	19523	21379	22390	21954	
83	2343	9351	15859	19375	21333	22355	22098	
76	2507	9374	16228	19620	21630	22045	21961	
58	2359	9330	16094	19226	21188	22280	21985	
79	2327	9318	16198	19470	21398	22384	22147	
95	2465	9470	16247	19747	21686	22564	21955	
