#PicoHarp 300  Histogram Data			11/02/2022 06:12:01 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	1	2	3	4	5	6	7	
#ns/channel
0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	
#counts
77	5830	4274	3094	2514	12792	10205	7870	
80	5827	4137	3225	2472	12879	10218	8036	
87	5810	4319	3141	2542	12968	10365	8062	
70	5842	4186	3171	2494	12931	10255	8079	
71	5742	4191	3113	2464	12989	10391	7889	
90	5802	4240	3188	2398	12888	10483	7898	
85	5807	4133	3182	2482	13063	10243	7976	
74	5797	4414	3196	2544	12798	10334	8189	
81	5826	4342	3123	2581	12886	10218	8056	
87	5749	4349	3217	2608	13088	10334	8059	
80	5903	4193	3150	2631	12980	10211	8108	
81	5834	4196	3258	2491	12917	10130	8096	
83	5869	4308	3152	2568	12903	10264	8155	
69	5882	4292	3217	2624	12914	10277	7844	
79	5735	4329	3198	2558	12993	10209	8105	
97	5675	4280	3208	2564	12931	10347	8104	
70	5724	4320	3235	2607	13018	10420	8138	
85	5697	4228	3245	2501	13282	10296	8068	
86	5884	4221	3059	2506	13153	10325	7978	
88	5823	4316	3142	2605	13094	10320	8192	
86	5940	4169	3195	2583	13212	10438	8234	
77	5935	4317	3212	2558	13164	10338	8201	
70	5787	4210	3170	2496	12948	10453	8262	
81	5807	4317	3177	2508	13054	10518	8048	
97	5818	4168	3178	2599	13003	10576	8358	
77	5744	4288	3206	2562	13113	10181	8103	
82	5756	4251	3135	2568	13012	10435	8065	
84	5656	4297	3247	2524	13103	10390	8141	
84	5726	4151	3131	2483	13341	10250	8191	
85	5816	4216	3130	2478	13142	10484	8098	
67	5705	4217	3115	2505	13265	10413	8008	
83	5793	4256	3134	2474	13288	10417	8007	
87	5626	4160	3146	2467	13019	10319	8082	
66	5533	4085	3106	2553	13486	10391	8005	
89	5592	4138	3131	2504	13582	10400	7987	
75	5473	3744	3042	2285	12826	9934	7723	
0	81	36	32	31	190	138	81	
0	2	3	1	0	5	3	3	
0	0	1	1	0	1	2	2	
0	0	2	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
