#PicoHarp 300  Histogram Data			11/02/2022 05:57:52 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.1280	0.1280	0.1280	0.1280	0.1280	
#counts
66	21249	19765	17487	15477	
64	21343	19618	17486	15413	
72	21309	19624	17405	15737	
76	21189	19821	17570	15696	
69	21451	19710	17358	15602	
76	21311	19475	17565	15664	
65	21359	19551	17619	15483	
98	21321	19644	17234	15549	
69	21312	19421	17572	15675	
67	21222	19565	17485	15411	
82	21265	19263	17388	15386	
81	21192	19411	17286	15618	
75	21352	19362	17309	15685	
68	20969	19334	17518	15527	
81	21074	19096	17353	15389	
70	21146	19446	17368	15388	
65	21174	19169	17227	15352	
75	20942	19143	17039	15367	
68	20993	19286	17150	15182	
77	20657	19182	16861	15355	
81	20910	19048	16847	15369	
70	20629	18982	16909	14988	
87	20718	19096	16977	15332	
69	21022	19056	16875	15079	
104	20814	18818	16599	15150	
74	20720	18835	16611	14960	
78	20701	18711	16721	15037	
82	20721	18599	16454	14892	
64	20507	18444	16324	14738	
80	20546	18425	16346	14434	
82	20185	18336	16131	14449	
86	20407	18375	15950	14221	
67	19873	18007	16094	14368	
70	20026	18079	15826	14152	
70	19113	17252	15269	13441	
1	276	228	199	198	
0	8	11	3	6	
0	0	0	1	1	
0	3	0	0	1	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
