#PicoHarp 300  Histogram Data			11/02/2022 06:07:49 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	1	2	3	4	5	6	7	
#ns/channel
0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	
#counts
79	16610	20720	18765	16017	13109	10024	7653	
83	17234	21519	19045	16220	13520	10292	7826	
80	17555	21720	19718	16476	13427	10364	7994	
90	17808	21942	19932	16801	13718	10356	8008	
81	17744	22264	20120	16723	13570	10299	7845	
84	18374	22808	20092	16806	13476	10575	7826	
63	18396	22906	20481	17040	13608	10503	7863	
79	18585	23170	20614	17352	13725	10363	7793	
78	19008	23408	20735	17279	13847	10648	7827	
87	19031	23564	21185	17550	13731	10294	7885	
74	19518	24049	20971	17277	13782	10524	7943	
71	19633	24230	21338	17540	13882	10539	7856	
82	19950	24538	21465	17497	13835	10445	7692	
87	20148	24855	21413	17875	13916	10547	7863	
86	20383	24914	22100	17700	14015	10485	7867	
86	20498	25109	21891	17577	14078	10346	7664	
81	20493	25583	21835	17844	14077	10448	7726	
78	21119	25710	22240	18160	14185	10628	7699	
85	21205	25912	22610	18138	13937	10596	7762	
92	21643	25982	22617	18341	14183	10542	7796	
99	21450	26461	22920	18472	14148	10396	7749	
81	21723	26672	22628	18596	14169	10589	7637	
91	22028	26674	23051	18573	14234	10490	7556	
95	22345	26823	23346	18672	14306	10422	7598	
73	22403	27394	23523	18706	14297	10401	7663	
79	23178	27469	23874	19022	14307	10507	7468	
90	22492	27587	23671	18767	14443	10517	7601	
78	23021	27930	23537	18821	14329	10390	7538	
86	22951	28014	23771	19225	14303	10511	7629	
80	23108	28248	24287	19095	14724	10491	7639	
71	23567	28146	24741	19407	14441	10402	7348	
79	23696	28594	24691	19176	14650	10519	7444	
86	23809	28642	24532	19566	14459	10367	7300	
88	23895	28489	24617	19521	14582	10480	7540	
90	23968	29025	25006	19632	14703	10256	7452	
59	24098	28987	25199	19826	14689	10710	7413	
78	24240	29149	24946	19499	14542	10530	7455	
88	24346	29546	25217	20007	14849	10524	7471	
70	24583	29574	25444	19721	14774	10415	7370	
89	24586	29478	25429	19812	14540	10416	7244	
71	24711	29831	25682	19977	14847	10348	7158	
82	24583	29793	25091	19918	14629	10641	7236	
71	24537	29580	25831	19832	14741	10340	7320	
89	24945	29847	25829	20147	14765	10451	7411	
78	24809	30048	25730	20041	14777	10388	7137	
74	24740	29636	25779	20050	14849	10447	7131	
80	24901	29678	26024	20315	15024	10493	7097	
80	24684	30095	25639	19967	14805	10419	7204	
76	24799	29612	25589	20064	14792	10566	7380	
78	24985	29920	26207	20142	14909	10372	7320	
67	24569	30340	25879	20210	14930	10388	7146	
65	24845	29918	26271	20121	14713	10551	7114	
91	24956	29749	25827	20338	15019	10429	7208	
89	24824	29922	25667	20485	14874	10205	7161	
88	24799	29739	25986	20508	15019	10452	7195	
84	24615	29682	26002	20365	15006	10265	7047	
78	24862	29889	25937	20310	14915	10348	7225	
90	24398	29751	26096	20363	14758	10482	7126	
82	24520	29314	25901	20302	14912	10239	7235	
71	24424	29241	25671	20354	14684	10390	7129	
74	24419	29510	25690	20318	14953	10436	7279	
86	24270	29215	25764	20196	14851	10477	7329	
80	24324	28907	25356	20425	15290	10491	7132	
78	23760	28768	25356	20330	14936	10308	7177	
84	23728	28846	25495	19993	14764	10436	7117	
78	23847	28481	25450	20171	14833	10411	7094	
69	23387	28067	25223	20100	14804	10196	7128	
52	23306	28474	25298	20072	14776	10404	7115	
68	23620	27952	25213	19974	14761	10289	7050	
95	23079	27939	24602	19702	14690	10172	7135	
79	22748	27276	24722	19637	14618	10174	7075	
64	22534	27189	24911	19727	14631	10295	7120	
77	22585	27197	24604	19751	14811	10333	6958	
83	22183	27387	24371	19565	14684	10272	7175	
91	22261	26607	24347	19726	14510	10288	7269	
81	21636	26309	24126	19624	14619	10318	7188	
83	21619	26361	24094	19376	14654	10565	7239	
79	21430	26116	23772	19279	14374	10233	7139	
79	21240	25870	23758	19304	14408	10127	7188	
84	20793	25812	23627	19385	14519	10341	7234	
74	20898	25502	23708	19118	14628	10186	7185	
67	20505	25022	23165	18869	14328	10144	7194	
81	20198	24947	23114	19185	14467	10253	7193	
95	19987	25014	22851	19049	14396	10336	7112	
77	19988	24608	22583	18881	14395	10127	7233	
80	19530	23659	22802	18845	14405	10220	7228	
88	19223	23947	22430	18711	14518	10084	7166	
84	18980	23595	22329	18644	14396	10213	7297	
80	18812	23038	21892	18413	14117	10197	7333	
89	18245	23071	21616	18337	14066	10147	7262	
74	18144	22791	21781	18374	14181	10174	7424	
91	18003	23003	21686	18371	14069	10196	7293	
92	17692	21834	21583	18104	13946	10072	7213	
69	17309	22045	21209	18100	14164	10184	7278	
73	17116	21646	21139	17932	14078	10221	7413	
83	16912	21348	20939	18041	13875	10195	7317	
76	16652	20942	20683	17650	14049	10249	7336	
79	16156	21171	20604	17547	13825	10142	7521	
72	16075	20738	20362	17771	13966	10264	7469	
79	16089	20683	20125	17497	13875	10157	7551	
85	15531	20264	20122	17387	13697	10150	7339	
61	15212	20111	19797	17286	13638	10187	7364	
77	15046	19929	19923	17192	13595	10299	7534	
70	14700	19391	19530	17142	13768	10347	7713	
91	14618	19233	19121	17097	13837	10390	7602	
78	14437	18968	19178	17172	13737	10282	7592	
67	14209	18778	19114	16737	13802	10155	7457	
90	13850	18822	18886	16905	13445	10227	7663	
75	13784	18360	18766	16630	13742	10312	7533	
92	13521	18413	18567	16490	13429	10436	7641	
81	13406	17973	18338	16368	13397	10416	7786	
95	13333	17527	18195	16262	13353	10213	7571	
88	13100	17815	18343	16418	13613	10315	7634	
77	12993	17362	18104	16562	13533	9955	7728	
87	12657	17225	17870	16167	13359	10280	7607	
95	12660	16857	17850	16122	13404	10243	7582	
82	12192	16739	17541	15913	13383	10260	7775	
91	12237	16701	17450	15958	13258	10327	7705	
84	11915	16646	17139	16122	13268	10106	7781	
85	11878	16390	17205	15836	13145	10107	7788	
83	11660	16415	16896	15732	13119	10205	7768	
81	11615	16205	16982	15679	13325	10333	7879	
60	11551	16076	16892	15535	12991	10095	7724	
75	11541	16106	16878	15274	13280	10244	7771	
87	11271	16055	16687	15508	13066	10208	7796	
69	11357	15903	16725	15352	12935	10167	7838	
90	11215	15749	16668	15445	13042	10393	7791	
69	11390	15817	16410	15552	13084	10259	7886	
69	11179	15871	16628	15416	12932	10128	7955	
77	11177	15786	16539	15407	13120	10206	7918	
98	11270	16027	16663	15430	12929	10157	7960	
83	11163	15821	16184	15326	13037	10290	8014	
81	11145	15615	16510	15387	12907	10354	7974	
