#PicoHarp 300  Histogram Data			11/02/2022 07:29:02 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	1	2	3	4	5	6	7	
#ns/channel
0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	
#counts
75	32598	30825	29620	29004	27767	25999	25278	
71	33143	31683	30089	29548	28204	27222	26028	
67	32720	31313	29936	28879	28247	27005	26209	
84	31983	30654	29496	28209	27935	26827	25926	
90	31529	30240	29088	28329	27567	26440	26035	
79	31315	29900	28664	28143	27177	26551	26019	
76	30269	29353	28474	27770	27166	26197	25823	
72	29878	28528	27777	27255	26906	26366	26003	
95	29826	28565	27762	26951	26760	26049	25627	
77	29350	27927	27242	26778	26512	26099	25854	
70	28237	27238	26895	26153	26286	25663	25621	
74	27720	27258	26471	25929	25849	25475	25471	
72	27573	26225	26117	25964	25859	25335	25690	
85	27029	26425	26052	25806	25465	25233	25452	
76	26315	25507	25403	25188	25371	25053	25217	
78	25777	25293	25022	24985	24980	25032	25385	
68	25335	24948	24830	24592	25126	24594	25556	
96	24821	24649	23990	24235	24572	24906	25068	
71	24584	23879	24044	23778	24496	24589	25013	
75	23943	23533	23634	23504	24356	24702	25043	
75	23518	22931	23377	23503	24019	24390	24753	
70	22803	22529	22803	23361	23766	24147	24909	
84	22357	22316	22513	22830	23290	24218	24820	
98	21963	21804	21994	22554	23507	23976	24896	
78	21742	21479	22067	22555	23078	23826	24855	
71	21389	21032	21474	22138	22858	23710	24390	
76	20738	20675	21243	21815	22977	23549	24410	
79	20154	20356	21352	21675	22662	23221	24538	
80	20053	20316	20797	21565	22320	23378	24592	
65	19736	19931	20548	21047	22343	22935	24514	
71	19609	19477	20230	20916	22245	23081	24531	
67	19118	19358	19943	20957	21970	22977	24275	
68	18705	18946	20032	20544	22229	22797	24528	
70	18285	18421	19475	20351	21659	22820	24125	
80	18145	18534	19370	20145	21323	22825	24278	
78	18114	18095	19046	20145	21513	22710	24211	
90	17521	18025	19134	20002	21073	22646	24096	
79	17670	17769	18711	20112	21176	22683	24482	
88	17267	17612	18591	19975	21199	22641	24096	
99	16842	17515	18471	19570	21126	22161	24035	
78	17121	17339	18340	19446	20902	22535	24341	
77	16753	17391	18274	19180	20586	22517	23922	
65	16595	17218	18017	19438	20675	22227	23925	
83	16415	16946	17972	19072	20686	22495	23707	
89	16345	16978	17909	19383	20382	22087	24024	
76	16419	16631	17647	19041	20848	21893	23895	
65	16083	16542	17563	19068	20429	22197	24064	
91	16027	16414	17752	18743	20450	22011	23699	
67	16120	16668	17514	18741	20314	21923	24139	
73	16022	16542	17680	18719	20362	22298	23945	
88	15895	16448	17724	18631	20617	22275	24029	
70	15911	16461	17340	19058	20423	22310	23968	
75	16061	16460	17609	18853	20382	21961	23752	
73	15922	16521	17857	19026	20427	22111	23859	
69	16048	16734	17752	18658	20220	21984	23687	
88	16101	16632	17786	19058	20301	22005	23781	
77	16288	16790	17902	18939	20564	22122	23926	
72	16300	16587	18090	18881	20595	22174	24303	
85	16593	16937	17913	19030	20347	22301	23948	
83	16659	17127	18266	19267	20458	22260	23981	
76	16769	17309	18386	19330	20783	22460	23943	
81	17232	17573	18711	19518	20981	22286	24218	
63	16974	17744	18643	19702	21033	22406	24071	
74	17428	17522	18538	19641	20907	22611	23922	
83	17441	17960	18601	19626	21180	22463	24289	
84	17735	17867	18765	20047	21092	22791	24019	
79	17942	18026	19194	20041	21731	22604	24236	
76	18158	18495	19296	20113	21213	22562	24072	
83	18160	18785	19377	20341	21534	22897	24378	
84	18310	18927	19554	20702	21962	22976	24525	
74	19045	19257	19943	20560	21775	23045	24284	
70	19135	19260	20100	20652	21936	22981	24472	
90	19238	19500	20211	20973	21977	23171	24451	
82	19925	19976	20763	21060	22074	23046	24481	
75	20349	20167	20558	21276	22243	23250	24358	
73	20153	20426	21062	21497	22465	23320	24398	
81	20700	20840	21230	21631	22398	23948	24549	
68	21176	20940	21593	22231	22871	23509	24684	
76	21455	21295	21901	22227	22964	23596	24539	
74	21775	22013	22046	22219	23249	23737	24456	
81	22304	22130	22179	22751	23429	23869	24714	
81	22543	22669	22606	23216	23464	23977	24862	
75	22984	22982	23050	23106	23763	24579	24696	
74	23340	23348	23170	23587	24039	24289	25018	
76	23916	23342	23398	23743	24090	24493	24705	
85	24113	24099	24030	24037	24361	24670	25179	
69	24835	24293	24119	24352	24843	25129	25009	
71	24970	24613	24301	24712	24788	25028	24942	
79	25530	24925	24916	24935	25256	24849	24851	
67	26037	25301	25160	25293	25246	25150	25062	
89	26468	25607	25706	25473	25576	25279	25179	
57	26838	26007	25782	25541	25777	25419	25461	
75	27251	26645	26375	26221	26023	25399	25515	
80	27544	27036	26694	26161	25714	25376	25444	
72	27898	27190	26940	26628	26161	25974	25499	
63	28405	27946	27092	26672	26583	26010	25361	
82	28973	28324	27602	26898	26574	26111	25668	
84	29719	28569	27823	27256	26829	26148	26063	
63	30086	28936	28392	27833	26958	26200	25551	
69	30222	29267	28518	27964	27098	26364	25557	
68	30817	29665	29111	28092	27253	26620	26171	
66	31178	30275	29234	28552	27636	26644	25787	
74	31628	30244	29585	28469	28091	27332	26186	
76	31957	30869	30035	28816	28056	26951	26113	
73	32600	31434	30328	29326	28205	27203	26393	
61	33044	32027	30429	29413	28235	27357	26243	
79	33168	32150	30641	29647	28472	27502	26404	
82	34071	32411	31461	30067	28884	27375	26518	
68	34420	33053	31641	30087	28935	27891	26537	
80	34845	33353	32078	30554	29407	28025	26477	
78	35202	33455	32071	30950	29602	28312	26643	
65	35474	34301	32672	31162	29709	28275	26779	
80	35918	34391	33137	31125	29948	28396	26831	
102	36457	34421	33151	31368	29904	28570	26546	
68	36823	35168	33258	31692	30241	28672	26848	
88	37081	35309	33732	32204	30416	28346	26790	
71	37758	35601	34033	32090	30978	28992	27052	
85	37703	36068	33981	32033	30810	28992	26963	
56	38038	36174	34390	32389	30929	28971	26572	
82	38694	36415	34697	32786	31183	28630	26884	
94	38380	36385	34475	33066	31344	29156	27212	
84	38788	36997	34760	32931	31192	28880	26908	
62	39091	37669	35617	33412	31376	29236	27306	
74	39821	37585	35556	33536	31502	29131	26811	
72	40283	37531	35848	33676	31459	29134	26965	
81	40417	37747	36070	33869	31510	29378	27060	
72	40362	38157	36081	34198	31774	29569	27066	
73	40419	38551	35710	33915	31622	29381	27124	
72	40981	38583	36465	34084	32314	29562	27358	
78	40928	38402	36476	34457	32052	29638	27418	
87	41406	38730	36541	34063	32139	29873	27348	
78	41610	38964	37051	34412	32670	29884	27325	
99	41740	38994	37271	34643	32050	29592	27263	
