#PicoHarp 300  Histogram Data			11/02/2022 07:33:35 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.1280	0.1280	0.1280	0.1280	0.1280	
#counts
76	24768	24130	23839	23438	
73	25646	24920	24507	24497	
69	25330	25024	24943	24831	
77	25561	25419	25162	24660	
77	25501	25218	25078	24865	
78	25303	25479	25602	25445	
68	25438	25627	25703	25599	
75	25506	25680	25668	25478	
71	25578	25634	25933	26101	
90	25720	25875	26079	26488	
74	25421	26107	26446	26895	
80	25405	26029	26829	26684	
77	25418	26379	26694	27065	
74	25736	26132	26918	27991	
81	25398	26221	26981	27807	
75	25625	26750	27353	28171	
75	25624	26580	27099	28258	
81	25780	26781	27791	28206	
86	25793	26898	27464	28620	
94	25668	27074	28046	28792	
78	25835	26878	27939	29182	
64	25664	26917	28234	29094	
64	25956	27246	28456	29222	
64	25813	27151	28400	29918	
81	25767	27360	28741	29757	
84	25505	27438	28760	29918	
72	25799	27526	28674	30339	
83	25660	27170	28930	30477	
69	25673	27517	29145	30405	
67	25965	27433	28985	30546	
75	25792	27735	29330	30981	
74	25845	27858	29506	31263	
78	25788	27849	29558	31131	
83	25591	27609	29827	31367	
77	26109	27551	29639	31630	
72	26112	28298	29975	32102	
82	25985	28027	29645	32205	
71	25729	28425	30147	31873	
83	25971	28496	30304	32146	
89	25542	28043	30455	32414	
69	25771	28439	30293	32648	
96	26102	28238	30265	32288	
69	25895	28294	30409	32754	
80	25992	28443	30313	32686	
71	25598	28056	30547	32792	
87	25889	28884	30702	32669	
54	26188	28294	30588	32874	
81	25733	28384	30324	32609	
83	25854	28296	30676	33039	
71	26006	28550	30805	33062	
86	25839	28185	30571	32909	
75	25292	28569	30695	32812	
70	25720	28343	30477	33159	
64	25504	28444	30819	33016	
73	26138	28213	30507	33071	
84	25753	28203	30672	32960	
76	25874	28399	30604	33012	
66	25764	28249	30419	32829	
93	25795	28392	30304	32567	
83	25738	28477	30429	32644	
63	25871	28357	30260	33054	
61	25734	28412	30738	32799	
68	25892	28250	30159	33036	
76	25683	28098	30128	32514	
75	26034	27763	30211	32187	
69	26037	27877	30283	31915	
81	25679	27951	29818	32128	
78	25573	28089	29659	31963	
59	25486	28189	29614	31690	
91	25309	27616	29561	31998	
77	25452	27555	29600	31414	
80	25462	27609	29565	31459	
72	25324	27222	29019	30843	
77	25675	27393	29250	30890	
90	25558	27828	28611	30445	
83	25450	27071	28597	30393	
84	25519	27292	28695	30539	
89	25353	27172	28372	30043	
58	25534	27163	28322	29912	
83	25527	26890	28498	30151	
82	25609	26936	28433	29556	
75	25564	26428	27768	29475	
90	25302	26819	27711	29405	
77	25248	26270	27618	28630	
72	25297	26711	27641	28469	
67	25675	26509	27392	28142	
79	25568	26610	27338	28113	
70	25607	25838	27015	27955	
79	25069	26175	26898	27692	
75	25536	25908	26721	27418	
69	25395	25978	26435	27193	
77	25353	25543	26271	26872	
81	25429	25798	26011	26845	
71	25276	25717	25996	26623	
67	25144	25764	25720	26055	
82	25078	25249	25277	26069	
72	25157	25282	25326	25568	
76	24900	25463	25175	25585	
74	25102	25009	25078	25337	
76	25260	24774	24740	24949	
79	24877	24815	24670	24521	
79	25026	24941	24430	24790	
80	25247	24616	24302	24337	
72	25239	24542	24183	24101	
66	24906	24777	24216	23693	
84	25380	24545	24033	23482	
71	25071	24386	23583	23403	
75	25346	24455	23884	23036	
69	25076	24257	23288	23024	
77	24973	24042	23620	22599	
70	24926	24284	23316	22653	
61	25190	24032	23063	22300	
72	25222	23778	23180	22204	
83	24925	23887	22785	21909	
90	25070	23963	22752	21663	
65	25049	23426	22538	21211	
80	25090	23676	22448	21647	
79	24873	23351	22305	21214	
89	25012	23586	21826	20922	
78	24964	23384	22044	20810	
79	24785	23378	21989	20844	
78	24807	23158	21711	21110	
56	25017	23125	21700	20994	
93	24828	23472	21786	20396	
84	24855	23165	21785	20505	
59	24723	23243	21505	20067	
83	24918	23163	21518	20080	
65	25023	22946	21537	20013	
81	24670	23077	21505	19865	
80	24372	23021	21409	19977	
82	25014	23469	21416	19698	
77	24888	23204	21295	19911	
74	25033	23273	21186	20131	
66	24846	23214	21212	19869	
