#PicoHarp 300  Histogram Data			11/02/2022 08:05:55 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.1280	0.1280	0.1280	0.1280	0.1280	
#counts
80	24797	24595	23958	23377	
79	25871	25585	24487	24237	
80	25677	25329	24784	24665	
77	25506	25422	24855	24827	
80	25812	25216	25122	24890	
72	25360	25426	25295	25186	
74	25240	25163	25297	25275	
80	25444	25359	25713	25401	
94	25122	25410	25439	25491	
90	25328	25654	25732	25902	
80	25349	25408	25709	25835	
86	25192	25571	25792	26134	
69	25267	25900	25664	26418	
84	25405	25783	26268	26778	
95	24822	25465	26080	26729	
77	25051	25943	26470	26824	
77	25172	25582	26493	27069	
67	24833	25796	26440	27068	
77	24624	25590	26454	27345	
72	24520	25620	26720	27171	
76	24634	25857	26973	27866	
83	24737	25786	26647	27906	
83	24533	26136	26600	27816	
83	24569	25390	27127	28206	
66	24373	25762	27484	28465	
95	24729	26057	27202	28579	
74	24347	25622	27090	28235	
92	24415	25935	27486	28471	
73	24028	25608	27340	28959	
66	24460	25806	27190	28919	
67	24350	25991	27562	29020	
61	24458	25991	27866	29177	
74	23994	26105	27492	29497	
78	24213	25954	28005	29017	
81	23942	26190	27866	29446	
92	24195	25883	27796	29481	
74	23988	26026	28056	29777	
83	24028	26126	28286	30009	
80	23937	26161	27834	29942	
105	23823	25640	28054	30021	
68	23905	26262	28270	30152	
81	23917	25885	28027	30036	
78	23834	25965	28053	29995	
67	23493	26283	28169	30183	
86	24013	25911	28410	30369	
79	23994	25627	28136	30444	
75	23865	26229	28233	30122	
88	23720	26044	28258	30168	
59	23935	26111	28170	30357	
74	23677	26053	28107	30698	
84	23591	26009	27998	30635	
72	23511	26093	28365	30707	
75	23504	26005	28101	30540	
68	23601	26004	28169	30747	
84	23795	25953	28222	30302	
74	23969	25775	28130	30371	
81	23642	26002	28124	30506	
64	23515	26042	28220	30698	
73	23643	25932	27988	30282	
84	24015	26026	28157	30606	
79	24055	26092	28026	30409	
63	23876	25892	28044	30201	
76	23848	26352	28057	30206	
78	23801	25782	27505	29644	
69	23652	25543	27552	29880	
85	24003	25949	27798	29825	
80	23915	25963	27790	29376	
81	23647	25967	27872	29558	
77	24025	25608	27636	29595	
79	23982	25502	27747	29199	
80	23894	25459	27642	29102	
71	23834	25610	27114	28880	
76	23753	25510	27201	28539	
78	24149	25673	27127	28681	
87	24016	25547	27146	28419	
68	24241	25898	27134	28590	
80	23865	25680	26951	28299	
72	23902	25401	26799	28270	
72	23881	25430	27004	28112	
60	24138	25382	26375	27814	
70	24266	25459	26662	27847	
84	24223	25863	26764	27525	
67	24109	25278	26280	27201	
85	24743	25395	26145	27125	
76	24312	25439	26446	27147	
78	24276	25486	26274	26890	
77	24709	25401	26038	26923	
79	24520	25365	25871	26869	
75	24588	25303	25539	26272	
82	24778	25442	25880	26253	
83	24688	25375	25710	26054	
94	24601	25453	25410	25952	
70	24984	25243	25690	25392	
84	24631	25045	25547	25559	
90	25147	25028	25410	25275	
85	24717	24993	24608	24963	
82	24636	24931	25185	24957	
79	25329	24919	24776	24870	
85	25078	24989	24898	24713	
87	25348	25123	24819	24615	
61	25177	25072	24495	24407	
75	25519	24880	24508	24098	
72	25468	25159	24528	23976	
70	25338	24927	24245	23752	
88	25570	24700	24184	23465	
79	25658	24813	24116	23603	
59	25348	24855	23886	23354	
91	25407	25034	24052	23141	
77	25762	24802	24041	23145	
83	25829	24721	23902	22918	
74	25928	24884	24071	22643	
76	26026	25269	23971	22243	
93	25988	24939	23768	22705	
78	25770	24971	23432	22379	
70	25885	24814	23395	22043	
77	25984	24387	23333	22249	
70	26439	25012	23282	21981	
79	25820	24472	23316	21773	
88	26076	24426	23332	21250	
85	26056	24792	23057	21656	
69	26227	24368	23325	21436	
69	26184	24613	22793	21080	
78	26016	24602	23050	21313	
90	26031	24523	22888	21197	
67	26106	24487	22878	21109	
69	26256	24918	23036	21015	
83	26353	24418	22619	21075	
74	26234	24510	22703	20955	
67	26280	24918	22995	20970	
69	26473	24689	22721	20683	
83	26926	24830	22755	20557	
87	26190	24608	22543	20969	
82	26399	24402	22777	20792	
81	26541	24529	22518	20630	
