#PicoHarp 300  Histogram Data			11/02/2022 08:01:56 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	1	2	3	4	5	6	7	
#ns/channel
0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	0.1280	
#counts
76	34114	31718	30890	29079	27923	27242	25685	
83	34274	32280	31129	29621	28470	28090	26604	
97	33642	31832	30499	29349	28418	27904	25740	
98	32566	31542	30534	28498	27764	27352	25971	
96	32450	30857	30334	28435	27273	27280	26130	
73	31754	30838	29828	28198	27331	27201	25800	
92	31483	29711	29312	27840	27022	26877	25521	
85	30790	29335	28636	27489	26735	26549	25604	
84	30233	29062	28425	26758	26899	26551	25764	
95	29833	28569	27988	26723	26313	26422	25506	
82	29211	27899	27553	26558	26114	26271	25380	
62	28225	27066	26975	26038	25509	25926	25318	
75	28284	27262	26304	25757	25417	25897	25424	
99	27840	26596	26099	25545	25192	25503	25253	
78	27094	25768	25753	24925	24796	25376	24654	
93	26418	25301	25520	24719	24532	24998	24764	
90	26241	25252	25249	24356	24203	25118	24859	
73	25295	24642	24639	23712	24134	24867	24376	
83	24891	24174	24237	23414	23840	24329	24132	
73	24323	23619	23623	23258	23542	24148	24283	
82	23885	23284	23188	22698	23444	24103	24210	
87	23103	22706	22693	22439	22814	23621	23914	
73	22757	22452	22558	22232	22785	23596	23690	
70	22615	22000	22255	21927	22218	23149	23829	
92	21996	21354	21836	21432	22400	23464	23652	
78	21322	21088	21529	21551	21720	23302	23365	
77	20824	20752	20944	21021	21493	22846	23150	
83	20401	20224	20842	20480	21365	22816	23248	
92	20171	19619	20288	20676	21156	22452	23114	
77	19978	19365	19989	20089	20728	22516	22794	
70	19293	19105	19916	19813	20953	22061	22911	
75	19138	18824	19568	19753	20816	22189	23020	
91	18911	18474	19208	19576	20487	22180	22712	
82	18220	18214	18921	19229	20257	21885	22482	
80	17995	18266	18430	19022	20102	21707	22584	
75	17985	17581	18618	18790	20184	21574	22569	
88	17468	17455	18477	18874	19902	21412	22454	
99	17326	17425	18019	18719	19941	21497	22744	
68	16677	17249	18169	18285	19509	21377	22290	
77	16776	16920	17741	18290	19443	21018	22087	
80	16622	16487	17617	18205	19287	21352	22541	
85	16362	16679	17561	17794	19363	21170	22118	
78	16047	16294	17164	17849	19205	21061	21907	
89	16123	16084	17502	17894	18956	20876	21930	
95	15688	15669	17000	17856	18910	20711	22203	
90	15903	15856	16904	17555	18780	20747	21861	
78	15558	15810	16736	17570	18795	20804	21859	
90	15398	15708	16823	17316	18573	20552	21728	
73	15472	15653	16696	17512	18616	20509	21850	
81	15218	15467	16661	17681	18592	20589	21868	
84	15139	15566	16591	17321	18673	20328	21754	
85	15072	15688	16561	17396	18646	20557	21931	
85	15051	15492	16581	17516	18716	20390	21886	
98	15548	15620	16739	17341	18761	20541	21928	
87	15584	15798	16782	17328	18611	20757	21778	
78	15430	15863	16804	17394	18719	20806	21888	
83	15589	15857	16761	17763	18963	20622	21850	
83	15401	15882	17003	17567	18891	20597	21729	
65	15750	15966	16997	17604	18692	20883	21639	
86	15803	16159	17056	17923	19011	20699	22043	
89	15935	16129	17323	17776	19337	21201	22050	
80	16326	16338	17320	18282	19354	21019	22151	
85	16294	16546	17363	18139	19400	21268	21991	
73	16602	16353	17691	18285	19148	21224	22088	
61	16520	16851	17596	18207	19531	21201	22001	
89	16756	16748	17731	18570	19640	21007	21992	
99	17019	17237	18199	18651	19714	21335	22393	
68	17088	17427	18219	18662	20144	21486	22340	
73	17454	17785	18268	19068	20031	21544	22173	
77	17540	17804	18700	19167	20222	21630	22451	
83	18081	17904	18826	19431	20349	21624	22423	
75	18107	18473	18995	19480	20371	21747	22787	
87	18647	18416	19277	19537	20657	21549	22514	
86	18756	18852	19408	19914	20602	22023	22868	
81	19167	19224	19694	20219	20964	22202	22850	
76	19286	19603	19990	20573	20957	22595	22856	
76	19792	19990	20206	20573	21049	22548	23129	
78	20049	19767	20574	20847	21432	22365	22915	
96	20653	20201	20576	21365	21339	22587	23160	
73	20791	20782	21110	21015	21840	22822	23208	
95	21089	21309	21499	21353	21933	22942	23526	
78	21727	21222	22009	22287	22344	23319	23728	
88	22209	21722	22150	22286	22404	23515	23215	
78	22214	22186	22424	22471	22818	23512	23434	
85	22813	22447	22647	22797	22736	23734	24069	
87	23239	23105	23056	23418	23455	23961	23743	
69	23888	23289	23527	23209	23589	24034	24397	
71	23958	24008	23972	23767	23461	24201	24173	
99	24535	23785	23836	23817	23619	24498	24354	
81	25114	24212	24415	24360	24055	24543	24230	
77	25405	24881	25092	24674	24500	24897	24600	
73	25878	25546	25011	24622	24721	25184	24439	
76	26276	25640	25565	25057	24741	25141	24718	
99	26629	25861	26067	25483	25255	25412	25107	
81	27058	26739	26329	25460	25542	25786	25104	
79	27517	26816	26805	25904	25814	25771	25187	
82	28485	27327	27106	26481	26142	26116	25294	
95	28725	27687	27509	26847	25849	26281	25501	
74	29260	27903	27951	27118	26517	26301	25538	
76	29468	28571	28269	27185	26370	26588	25550	
83	29738	29123	28652	27282	26762	26969	25720	
84	30416	29253	28994	27993	27427	27360	25817	
84	30986	29959	29488	28417	27671	27336	25888	
82	31439	30719	29548	28687	27672	27506	26277	
75	31836	30808	30159	29188	27979	27442	26434	
83	32566	31099	30627	29472	28394	28049	26494	
69	32903	31932	30876	29693	28815	27829	26524	
78	33403	32308	31300	29865	28951	28020	26330	
74	33839	32290	31702	30040	29312	28363	26808	
78	33890	33100	31746	30785	29299	28722	27082	
83	34610	33130	32214	30948	29570	28582	26989	
68	34936	33798	32632	30846	29592	28703	27360	
80	35791	34030	33216	31486	29969	28909	26914	
89	36209	34491	33155	31751	30631	29136	27232	
74	36240	34932	33643	31788	30367	28996	27196	
77	36621	35170	33875	31997	30677	29410	27827	
79	37320	35544	34343	32148	30879	29996	27478	
75	37589	35825	34385	32679	30871	29740	27786	
88	37859	35995	34518	32681	31207	30240	27426	
83	38283	36331	34714	32947	31053	29851	27568	
80	38933	36431	35387	33237	31444	30427	27588	
74	39033	36934	35634	33632	31615	30152	27899	
81	39274	37355	35772	33655	31406	30461	27842	
78	39288	37642	35934	33648	32164	30339	28425	
74	40215	38010	35904	34009	31850	30409	27928	
86	40255	38065	36706	34392	32141	30593	28395	
68	40246	38461	36437	33873	32510	30773	28105	
82	40937	38465	36961	34393	32324	31273	28270	
80	41114	38791	37019	34608	32669	30952	28196	
84	41452	39148	37237	35069	32544	30936	28379	
84	41520	39280	37582	35038	33158	31224	28425	
76	41557	39668	37333	35496	33150	31262	28581	
60	41961	39725	38181	35151	33094	31334	28685	
