Time,Oven T,Chamber T,Oven output
2021-12-10 17:14:07,110.0,69.67,5
2021-12-10 17:16:12,110.0,69.97,9
2021-12-10 17:18:17,110.0,70.39,12
2021-12-10 17:20:21,110.0,70.77,14
2021-12-10 17:22:26,110.0,71.24,11
2021-12-10 17:24:31,110.0,71.77,9
2021-12-10 17:26:35,110.0,72.07,8
2021-12-10 17:28:40,110.0,72.38,9
2021-12-10 17:30:44,110.0,72.68,8
2021-12-10 17:32:49,110.0,73.16,6
2021-12-10 17:34:53,110.0,73.58,8
2021-12-10 17:36:58,110.0,73.97,6
2021-12-10 17:39:03,110.0,74.27,9
2021-12-10 17:41:07,110.0,74.74,4
2021-12-10 17:43:12,110.0,74.99,9
2021-12-10 17:45:17,110.0,75.34,9
2021-12-10 17:47:21,110.0,75.51,9
2021-12-10 17:49:26,110.0,76.05,13
2021-12-10 17:51:30,110.0,76.3,10
2021-12-10 17:53:35,110.0,76.66,9
2021-12-10 17:55:40,110.0,77.0,7
2021-12-10 17:57:44,110.0,77.32,9
2021-12-10 17:59:49,110.0,77.65,7
2021-12-10 18:01:53,110.0,77.9,8
2021-12-10 18:03:58,110.0,78.24,7
2021-12-10 18:06:03,110.0,78.36,10
2021-12-10 18:08:07,110.0,78.89,10
2021-12-10 18:10:12,110.0,79.2,12
2021-12-10 18:12:17,110.0,79.5,11
2021-12-10 18:14:21,109.9,79.68,12
2021-12-10 18:16:26,110.0,79.94,6
2021-12-10 18:18:30,110.0,80.13,7
2021-12-10 18:20:35,110.0,80.55,7
2021-12-10 18:22:40,110.0,80.77,7
2021-12-10 18:24:44,110.0,80.82,8
2021-12-10 18:26:49,110.0,81.38,10
2021-12-10 18:28:54,110.0,81.67,7
2021-12-10 18:30:58,110.0,81.79,7
2021-12-10 18:33:03,110.0,82.13,10
2021-12-10 18:35:08,110.0,82.37,5
2021-12-10 18:37:12,110.0,82.8,9
2021-12-10 18:39:17,110.0,82.73,10
2021-12-10 18:41:22,110.0,82.95,9
2021-12-10 18:43:26,110.0,83.45,8
2021-12-10 18:45:31,110,83.5150062,7
2021-12-10 18:47:35,110,83.9119676,8
2021-12-10 18:49:40,110,84.248403,11
2021-12-10 18:51:45,110,84.3900142,9
2021-12-10 18:53:49,110,84.5425594,10
2021-12-10 18:55:54,110,84.8323513,7
2021-12-10 18:57:58,110,85.0896931,7
2021-12-10 19:00:03,110,85.4390328,9
2021-12-10 19:02:07,110,85.5165114,6
2021-12-10 19:04:12,110,85.7748456,6
2021-12-10 19:06:17,110,85.8627608,6
2021-12-10 19:08:21,110,86.1613917,6
2021-12-10 19:10:26,110,86.3408805,7
2021-12-10 19:12:30,110.0,86.64,10
2021-12-10 19:14:35,110.0,86.94,9
2021-12-10 19:16:39,110.0,86.95,6
2021-12-10 19:18:44,110.0,87.22,7
2021-12-10 19:20:49,110.0,87.49,9
2021-12-10 19:22:53,110.0,87.77,6
2021-12-10 19:24:58,110.0,87.82,7
2021-12-10 19:27:03,110.0,88.05,7
2021-12-10 19:29:07,110.0,88.35,8
2021-12-10 19:31:12,110.0,88.52,8
2021-12-10 19:33:17,110.0,88.58,13
2021-12-10 19:35:21,110.0,88.85,10
2021-12-10 19:37:26,110.0,89.14,5
2021-12-10 19:39:31,110.0,89.23,9
2021-12-10 19:41:35,110.0,89.53,8
2021-12-10 19:43:40,110.0,89.59,7
2021-12-10 19:45:45,110.0,89.94,9
2021-12-10 19:47:49,110.0,90.07,11
2021-12-10 19:49:54,110.0,90.08,7
2021-12-10 19:51:59,110.0,90.35,6
2021-12-10 19:54:03,110.0,90.64,9
2021-12-10 19:56:08,110.0,90.7,10
2021-12-10 19:58:12,110.0,90.88,10
2021-12-10 20:00:17,110.0,91.15,10
2021-12-10 20:02:22,110.0,91.25,6
2021-12-10 20:04:26,110.0,91.45,7
2021-12-10 20:06:31,110.0,91.81,11
2021-12-10 20:08:35,110.0,91.89,8
2021-12-10 20:10:40,110.0,92.0,10
2021-12-10 20:12:44,110.0,92.1,12
2021-12-10 20:14:49,110.0,92.27,9
2021-12-10 20:16:54,110.0,92.44,10
2021-12-10 20:18:58,110.0,92.54,13
2021-12-10 20:21:03,110.0,92.79,7
2021-12-10 20:23:08,110.0,92.92,8
2021-12-10 20:25:12,110.0,93.12,10
2021-12-10 20:27:17,110.0,93.09,11
2021-12-10 20:29:21,110.0,93.38,9
2021-12-10 20:31:26,110.0,93.61,8
2021-12-10 20:33:31,110.0,93.58,3
2021-12-10 20:35:35,110.0,93.97,11
2021-12-10 20:37:40,110.0,93.96,8
2021-12-10 20:39:44,110.0,94.28,7
2021-12-10 20:41:49,110.0,94.3,7
2021-12-10 20:43:53,110.0,94.5,9
2021-12-10 20:45:58,110.0,94.76,6
2021-12-10 20:48:03,110.0,94.73,10
2021-12-10 20:50:07,110.0,94.77,6
2021-12-10 20:52:12,110.0,95.08,7
2021-12-10 20:54:16,110.1,95.34,6
2021-12-10 20:56:21,110.0,95.32,7
2021-12-10 20:58:26,110.0,95.58,8
2021-12-10 21:00:30,110.0,95.65,10
2021-12-10 21:02:35,110.0,95.74,3
2021-12-10 21:04:39,110.0,95.81,7
2021-12-10 21:06:44,110.0,95.95,9
2021-12-10 21:08:49,110.0,96.16,4
2021-12-10 21:10:53,110.0,96.38,8
2021-12-10 21:12:58,110.0,96.37,9
2021-12-10 21:15:03,110.0,96.61,10
2021-12-10 21:17:07,110.0,96.83,10
2021-12-10 21:19:12,110.0,96.88,9
2021-12-10 21:21:16,110.0,96.89,3
2021-12-10 21:23:21,110.0,97.09,7
2021-12-10 21:25:26,110.0,97.09,6
2021-12-10 21:27:30,110.0,97.15,6
2021-12-10 21:29:35,110.0,97.48,10
2021-12-10 21:31:39,110.0,97.54,11
2021-12-10 21:33:44,110.0,97.81,11
2021-12-10 21:35:49,110.0,97.66,9
2021-12-10 21:37:54,110.0,97.9,9
2021-12-10 21:39:58,110.0,98.08,8
2021-12-10 21:42:03,110.0,98.19,10
2021-12-10 21:44:07,110.0,98.14,4
2021-12-10 21:46:12,110.0,98.37,3
2021-12-10 21:48:17,110.0,98.62,9
2021-12-10 21:50:21,110.0,98.62,10
2021-12-10 21:52:26,110.0,98.5,7
2021-12-10 21:54:30,110.0,98.74,9
2021-12-10 21:56:35,110.0,98.85,13
2021-12-10 21:58:40,110.0,99.06,8
2021-12-10 22:00:44,110.0,98.86,8
2021-12-10 22:02:49,110.0,99.24,11
2021-12-10 22:04:54,110.0,99.26,8
2021-12-10 22:06:58,110.0,99.46,12
2021-12-10 22:09:03,110.0,99.47,8
2021-12-10 22:11:07,110.0,99.87,8
2021-12-10 22:13:12,110.0,99.67,6
2021-12-10 22:15:17,110.0,99.66,7
2021-12-10 22:17:21,110.0,99.88,5
2021-12-10 22:19:26,110.0,99.95,7
2021-12-10 22:21:31,110.0,100.21,5
2021-12-10 22:23:35,110.1,100.21,4
2021-12-10 22:25:40,110.0,100.37,7
2021-12-10 22:27:45,110.0,100.54,12
2021-12-10 22:29:49,110.0,100.44,10
2021-12-10 22:31:54,110.0,100.45,5
2021-12-10 22:33:58,110.0,100.72,9
2021-12-10 22:36:03,110.0,100.86,8
2021-12-10 22:38:07,110.0,100.84,7
2021-12-10 22:40:12,110.0,101.11,5
2021-12-10 22:42:17,110.0,100.95,6
2021-12-10 22:44:21,110.0,101.16,7
2021-12-10 22:46:26,110.0,101.15,9
2021-12-10 22:48:30,110.0,101.2,7
2021-12-10 22:50:35,110.0,101.22,13
2021-12-10 22:52:40,110.0,101.46,7
2021-12-10 22:54:44,110.0,101.51,8
2021-12-10 22:56:49,110.0,101.73,8
2021-12-10 22:58:54,110.0,101.62,6
2021-12-10 23:00:58,110.0,101.92,9
2021-12-10 23:03:03,110.0,101.87,10
2021-12-10 23:05:07,110.0,101.89,10
2021-12-10 23:07:12,110.0,102.11,6
2021-12-10 23:09:17,110.0,101.99,6
2021-12-10 23:11:21,110.0,102.14,4
2021-12-10 23:13:26,110.0,102.43,11
2021-12-10 23:15:30,110.0,102.41,13
2021-12-10 23:17:35,110.0,102.4,11
2021-12-10 23:19:39,110.0,102.48,7
2021-12-10 23:21:44,110.0,102.59,12
2021-12-10 23:23:49,110.0,102.73,10
2021-12-10 23:25:53,110.0,102.75,7
2021-12-10 23:27:58,110.0,102.63,7
2021-12-10 23:30:03,110.0,102.79,7
2021-12-10 23:32:07,110.0,102.78,12
2021-12-10 23:34:12,110.0,102.9,11
2021-12-10 23:36:16,110.0,103.11,8
2021-12-10 23:38:21,110.0,103.16,4
2021-12-10 23:40:26,110.0,103.07,6
2021-12-10 23:42:30,110.0,103.15,9
2021-12-10 23:44:35,110.0,103.32,10
2021-12-10 23:46:39,110.0,103.62,9
2021-12-10 23:48:44,110.0,103.51,8
2021-12-10 23:50:48,110.0,103.61,7
2021-12-10 23:52:53,110.0,103.76,6
2021-12-10 23:54:58,110.0,103.58,10
2021-12-10 23:57:03,110.0,103.52,10
2021-12-10 23:59:38,110.0,103.79,9
2021-12-11 0:01:43,110.0,103.75,14
2021-12-11 0:03:48,110.1,103.87,2
2021-12-11 0:05:52,110.0,104.0,8
2021-12-11 0:07:57,110.0,103.89,9
2021-12-11 0:10:01,110.0,104.05,5
2021-12-11 0:12:06,110.0,104.17,7
2021-12-11 0:14:11,110.0,104.07,7
2021-12-11 0:16:15,110.1,104.3,3
2021-12-11 0:18:20,110.0,104.43,14
2021-12-11 0:20:24,110.0,104.33,8
2021-12-11 0:22:29,110.0,104.51,2
2021-12-11 0:24:34,110.0,104.6,7
2021-12-11 0:26:38,110.0,104.45,6
2021-12-11 0:28:43,110.0,104.52,7
2021-12-11 0:30:47,110.0,104.55,8
2021-12-11 0:32:52,110.0,104.93,9
2021-12-11 0:34:56,110.0,104.75,9
2021-12-11 0:37:01,110.0,104.84,4
2021-12-11 0:39:06,110.0,104.89,11
2021-12-11 0:41:10,110.0,105.04,8
2021-12-11 0:43:15,110.0,104.91,6
2021-12-11 0:45:19,110.0,104.96,7
2021-12-11 0:47:24,110.0,105.01,9
2021-12-11 0:49:29,110.0,105.19,7
2021-12-11 0:51:33,110.0,105.06,10
2021-12-11 0:53:38,110.0,105.25,10
2021-12-11 0:55:42,110.0,105.35,6
2021-12-11 0:57:47,110.0,105.31,7
2021-12-11 0:59:52,110.0,105.38,9
2021-12-11 1:01:56,110.0,105.35,7
2021-12-11 1:04:01,110.0,105.48,8
2021-12-11 1:06:05,110.0,105.6,9
2021-12-11 1:08:10,110.0,105.48,4
2021-12-11 1:10:15,110.0,105.65,11
2021-12-11 1:12:19,110.0,105.73,7
2021-12-11 1:14:24,110.0,105.52,7
2021-12-11 1:16:29,110.0,105.57,14
2021-12-11 1:18:33,110.0,105.73,9
2021-12-11 1:20:38,110.0,105.8,8
2021-12-11 1:22:42,110.0,105.64,6
2021-12-11 1:24:47,110.0,105.83,10
2021-12-11 1:26:52,110.0,106.05,10
