I(mA),P(mW)
100,14.15
94,13.14
89.51,12.4
85,11.50
80,10.5
75,9.6
70,8.5
65,7.7
60,6.6
50,4.6
40,2.5
35,1.4
32,0.7
31,0.5
30,0.26
28,0.02
