,1,2,3,4,5
1,0.0,-5.0(17)e-2,-6.1(21)e-2,-0.115(39),-0.126(43)
2,5.0(17)e-2,0.0,-1.11(38)e-2,-6.5(22)e-2,-7.6(26)e-2
3,6.1(21)e-2,1.11(38)e-2,0.0,-5.4(18)e-2,-6.5(22)e-2
4,0.115(39),6.5(22)e-2,5.4(18)e-2,0.0,-1.11(38)e-2
5,0.126(43),7.6(26)e-2,6.5(22)e-2,1.11(38)e-2,0.0
