phase diff (cycle),2,3,4,5
1,0.1283(27),0.1504(32),0.2785(59),0.3001(64)
2,-,2.203(46)e-2,0.1501(32),0.1718(36)
3,-,-,0.1281(27),0.1497(32)
4,-,-,-,2.161(46)e-2
